State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
New York,NY,235.1,233.7,216.4,223.5,226.4,234.1,242.3,234.7,229.4,225.0,228.3,-3%
North Carolina,NC,289.1,284.1,280.6,248.4,236.5,224.9,231.8,218.4,215.4,227.3,245.5,-15%
North Dakota,ND,84.9,97.2,118.6,148.1,174.8,192.3,183.1,199.9,190.3,171.5,180.1,112%
Ohio,OH,139.2,140.7,142.1,138.7,136.2,132.4,131.7,123.2,127.4,135.1,138.7,0%
Oklahoma,OK,362.5,357.1,379.5,362.7,346.7,325.7,337.3,300.8,277.0,291.9,311.0,-14%
Oregon,OR,173.0,175.8,154.8,157.6,155.6,156.6,154.1,142.7,140.8,164.6,164.1,-5%
Pennsylvania,PA,237.6,226.4,224.8,207.4,205.3,197.3,194.4,185.7,173.5,174.8,180.1,-24%
Rhode Island,RI,129.4,130.3,136.7,147.7,151.6,146.3,153.9,147.4,132.5,143.7,143.2,11%
South Carolina,SC,579.9,596.9,539.1,503.4,452.3,438.4,421.4,373.6,365.8,369.1,365.0,-37%
South Dakota,SD,112.0,114.3,129.6,114.6,198.9,171.1,229.7,236.2,245.7,296.6,325.0,190%
Tennessee,TN,533.7,532.5,508.9,475.5,442.2,444.5,479.6,436.9,453.2,452.2,467.3,-12%
Texas,TX,316.4,307.2,314.1,298.7,284.4,264.5,258.0,246.9,243.6,246.6,261.6,-17%
Utah,UT,139.7,144.6,135.8,132.3,130.6,124.4,132.5,130.4,119.4,135.1,140.1,0%
Vermont,VT,93.0,89.7,98.3,92.5,96.2,101.4,104.2,87.1,68.9,78.6,110.6,19%
Virginia,VA,152.1,142.6,132.8,123.9,119.1,106.9,111.1,109.7,112.9,110.2,122.2,-20%
Washington,WA,199.8,196.2,191.2,189.7,185.3,176.1,177.5,166.4,164.7,167.8,179.7,-10%
West Virginia,WV,207.3,204.3,201.5,217.7,247.5,241.6,244.6,226.7,235.5,256.4,278.5,34%
Wisconsin,WI,160.6,168.1,160.4,149.1,145.9,135.9,175.5,161.6,170.4,180.1,186.3,16%
Wyoming,WY,196.7,189.5,180.2,177.9,151.9,177.9,161.7,157.2,153.9,179.8,195.7,-1%
