State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Missouri,MO,30.2,29.2,27.3,26.8,23.9,24.3,25.1,37.8,39.2,42.0,41.9,39%
Montana,MT,28.5,30.3,30.4,30.2,32.4,35.8,37.7,40.4,52.9,53.0,55.4,94%
Nebraska,NE,31.0,29.7,32.7,33.1,36.8,37.7,38.3,42.9,45.8,46.0,52.1,68%
Nevada,NV,43.2,42.7,42.4,38.6,35.7,33.5,33.7,50.8,47.8,58.4,58.9,36%
New Hampshire,NH,26.2,25.3,29.7,30.2,31.3,32.5,34.0,51.8,44.8,47.1,43.6,66%
New Jersey,NJ,14.2,12.1,12.9,12.0,11.2,11.4,11.7,12.6,14.3,15.3,16.2,14%
New Mexico,NM,56.0,52.4,57.4,52.6,46.5,41.2,45.9,70.3,70.7,80.2,73.3,31%
New York,NY,16.4,15.2,14.4,13.2,14.3,14.1,14.6,17.1,27.5,30.7,31.7,93%
North Carolina,NC,28.2,26.3,24.8,24.6,21.1,20.7,20.3,24.1,24.3,26.7,28.1,0%
North Dakota,ND,30.4,32.4,36.2,34.8,35.2,37.9,38.9,45.6,48.4,45.6,45.1,48%
Ohio,OH,39.6,38.8,38.5,34.8,32.1,31.5,31.7,34.9,43.5,44.3,48.1,21%
Oklahoma,OK,41.6,43.1,40.2,41.5,38.7,37.0,41.6,56.6,45.8,47.3,52,25%
Oregon,OR,32.3,33.5,30.5,30.5,31.7,31.4,29.2,48.3,36.7,39.5,42,30%
Pennsylvania,PA,27.3,27.7,27.9,29.0,26.9,26.1,26.1,29.5,29.9,33.6,34.7,27%
Rhode Island,RI,26.7,24.2,26.4,27.3,28.1,28.9,27.4,41.8,34.2,43.5,41.8,57%
South Carolina,SC,40.8,39.5,36.6,35.3,31.7,34.5,35.5,45.5,42.8,46.9,48.1,18%
South Dakota,SD,43.0,38.7,53.7,54.8,47.9,60.2,70.2,59.1,55.1,57.7,58.8,37%
Tennessee,TN,35.5,35.3,33.2,31.7,33.7,31.6,31.5,36.2,38.6,40.5,40.8,15%
Texas,TX,35.6,35.3,32.9,33.4,30.3,29.0,29.6,36.9,42.3,44.6,48,35%
Utah,UT,34.1,34.3,32.6,32.5,34.3,30.3,33.0,49.0,49.4,54.9,49.8,46%
Vermont,VT,24.0,19.8,20.4,19.9,21.1,19.0,19.3,20.7,17.6,21.7,28.5,19%
Virginia,VA,23.4,22.6,22.6,19.2,19.1,19.0,17.7,27.4,27.7,27.9,32.5,39%
Washington,WA,42.9,40.6,40.1,38.1,38.1,33.5,31.8,36.9,38.2,37.7,42.2,-2%
West Virginia,WV,21.4,20.4,20.0,23.8,19.1,20.9,22.7,35.2,27.3,36.4,35.9,68%
Wisconsin,WI,20.4,21.8,19.9,19.6,20.9,20.4,21.3,29.4,29.1,30.8,34.2,68%
Wyoming,WY,27.2,30.6,33.8,33.8,29.1,25.7,26.7,32.1,29.8,29.5,35,29%
